^Full Path^|^Length^|^Creation Time Utc^
^C:\Program Files\Microsoft SQL Server\100\KeyFile\1033\sharedmanagementobjects_keyfile.dll^|^14176^|^2/14/2010 5:20:06 PM^
^C:\Program Files\Microsoft SQL Server\100\KeyFile\1033\sqlsupport_keyfile.dll^|^14184^|^9/23/2011 4:26:30 AM^
^C:\Program Files\Microsoft SQL Server\100\KeyFile\1033\sqlsysclrtypes_keyfile.dll^|^14176^|^12/9/2010 8:26:00 PM^
^C:\Program Files\Microsoft SQL Server\100\SDK\Assemblies\en\License_SMO.txt^|^10346^|^2/12/2010 11:32:46 PM^
^C:\Program Files\Microsoft SQL Server\100\SDK\Assemblies\Microsoft.SqlServer.ConnectionInfo.dll^|^153440^|^2/14/2010 5:21:08 PM^
^C:\Program Files\Microsoft SQL Server\100\SDK\Assemblies\Microsoft.SqlServer.ConnectionInfoExtended.dll^|^96096^|^2/14/2010 5:21:10 PM^
^C:\Program Files\Microsoft SQL Server\100\SDK\Assemblies\Microsoft.SqlServer.Dmf.Adapters.dll^|^63328^|^2/14/2010 5:21:06 PM^
^C:\Program Files\Microsoft SQL Server\100\SDK\Assemblies\Microsoft.SqlServer.Dmf.dll^|^345952^|^2/14/2010 5:21:08 PM^
^C:\Program Files\Microsoft SQL Server\100\SDK\Assemblies\Microsoft.SqlServer.DmfSqlClrWrapper.dll^|^12640^|^2/14/2010 5:21:10 PM^
^C:\Program Files\Microsoft SQL Server\100\SDK\Assemblies\Microsoft.SqlServer.Management.Collector.dll^|^75616^|^2/14/2010 5:20:48 PM^
^C:\Program Files\Microsoft SQL Server\100\SDK\Assemblies\Microsoft.SqlServer.Management.CollectorEnum.dll^|^25952^|^2/14/2010 5:20:44 PM^
^C:\Program Files\Microsoft SQL Server\100\SDK\Assemblies\Microsoft.SqlServer.Management.Sdk.Sfc.dll^|^452448^|^2/14/2010 5:20:32 PM^
^C:\Program Files\Microsoft SQL Server\100\SDK\Assemblies\Microsoft.SqlServer.Management.Utility.dll^|^304992^|^2/14/2010 5:20:34 PM^
^C:\Program Files\Microsoft SQL Server\100\SDK\Assemblies\Microsoft.SqlServer.Management.UtilityEnum.dll^|^51040^|^2/14/2010 5:20:32 PM^
^C:\Program Files\Microsoft SQL Server\100\SDK\Assemblies\Microsoft.SqlServer.PolicyEnum.dll^|^42848^|^2/14/2010 5:20:32 PM^
^C:\Program Files\Microsoft SQL Server\100\SDK\Assemblies\Microsoft.SqlServer.RegSvrEnum.dll^|^71520^|^2/14/2010 5:20:32 PM^
^C:\Program Files\Microsoft SQL Server\100\SDK\Assemblies\Microsoft.SqlServer.ServiceBrokerEnum.dll^|^46944^|^2/14/2010 5:16:04 PM^
^C:\Program Files\Microsoft SQL Server\100\SDK\Assemblies\Microsoft.SqlServer.Smo.dll^|^3045216^|^2/14/2010 5:16:02 PM^
^C:\Program Files\Microsoft SQL Server\100\SDK\Assemblies\Microsoft.SqlServer.SmoExtended.dll^|^186208^|^2/14/2010 5:16:08 PM^
^C:\Program Files\Microsoft SQL Server\100\SDK\Assemblies\Microsoft.SqlServer.SqlEnum.dll^|^1140576^|^2/14/2010 5:16:08 PM^
^C:\Program Files\Microsoft SQL Server\100\SDK\Assemblies\Microsoft.SqlServer.SqlWmiManagement.dll^|^165728^|^2/14/2010 5:15:56 PM^
^C:\Program Files\Microsoft SQL Server\100\SDK\Assemblies\Microsoft.SqlServer.SString.dll^|^21856^|^2/14/2010 5:15:56 PM^
^C:\Program Files\Microsoft SQL Server\100\SDK\Assemblies\Microsoft.SqlServer.WmiEnum.dll^|^46944^|^2/14/2010 5:15:52 PM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\Resources\1033\setup.rll^|^14696^|^9/23/2011 4:48:08 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\1033\finish.rtf^|^3391^|^9/9/2011 9:54:36 PM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\1033\license_Dev.rtf^|^25503^|^7/4/2008 5:33:34 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\1033\license_Ent.rtf^|^43203^|^7/4/2008 5:33:34 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\1033\license_Ent_OEM.rtf^|^34774^|^7/4/2008 5:33:34 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\1033\license_Eval.rtf^|^8906^|^7/4/2008 5:33:34 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\1033\license_Expr.rtf^|^7652^|^7/4/2008 5:33:34 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\1033\license_ExprComp.rtf^|^52342^|^8/11/2008 7:35:40 PM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\1033\license_ExprComp_SSMS.rtf^|^140498^|^9/9/2011 9:55:10 PM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\1033\license_Std.rtf^|^41746^|^7/4/2008 5:33:34 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\1033\license_Std_OEM.rtf^|^32892^|^7/4/2008 5:33:34 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\1033\license_Std_SBS.rtf^|^36300^|^7/4/2008 5:33:34 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\1033\license_Std_SBS_OEM.rtf^|^26891^|^7/4/2008 5:33:34 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\1033\license_Web.rtf^|^27124^|^7/4/2008 5:33:34 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\1033\license_Web_OEM.rtf^|^26876^|^7/4/2008 5:33:36 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\1033\license_WkGp.rtf^|^42904^|^7/4/2008 5:33:36 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\1033\license_WkGp_OEM.rtf^|^32935^|^7/4/2008 5:33:36 AM^
